тип,Пр.Всего,Цена,Балк/Лодж,Санузел,Тип дома,Отделка,Этаж,Мебель,ПлощКухни,ЖилПлощ,Кол-воЭтаж,Кол-воКомн,Парковка,Ремонт,ВысПотол,Техника,ОбщПлощ,ГодПостр,Широта,Долгота,Адрес
Вторичка,187,7300000,балкон,совмещенный,монолитно-кирпичный,,6,,13.3 м²,,9,1,,евро,,,42.8 м²,2016,55.687583,49.212155,"Республика Татарстан (Татарстан), Лаишевский р-н, Столбищенское сельское поселение, с. Усады, Счастливая ул., 2"
Вторичка,6282,16000000,балкон,совмещенный,монолитно-кирпичный,,8,,25 м²,63.8 м²,18,3,,дизайнерский,3 м,,104.7 м²,2017,55.821148,49.145248,"Республика Татарстан, Казань, ул. Адоратского, 1Б"
Вторичка,78,5700000,,совмещенный,панельный,,1,,6.5 м²,,2,2,,косметический,,,41 м²,1954,55.863586,49.227067,"р-н Советский, Республика Татарстан (Татарстан), Казань, Каштановая ул., 12/46"
Новостройки,10,8960000,лоджия,,кирпичный,без отделки,5,,13.8 м²,10.5 м²,10,1,,,,,36.6 м²,,55.80853,49.23026,"р-н Советский, с. Константиновка, ул. Анаса Тазетдинова, д. 5"
Новостройки,14,12710000,лоджия,,кирпичный,без отделки,2,,15.9 м²,30.3 м²,10,2,,,,,60.3 м²,,55.80853,49.23026,"р-н Советский, с. Константиновка, ул. Анаса Тазетдинова, д. 5"
Вторичка,36,15763500,,раздельный,монолитно-кирпичный,,23,,12 м²,,23,3,подземная,требует ремонта,2.7 м,,75 м²,2024,55.81431754052724,49.182101646473654,"р-н Советский, Республика Татарстан (Татарстан), Казань, ул. Академика Арбузова, 4А"
Новостройки,15,8660000,лоджия,,кирпичный,без отделки,1,,10.2 м²,19.6 м²,10,1,,,,,36.9 м²,,55.80853,49.23026,"р-н Советский, с. Константиновка, ул. Анаса Тазетдинова, д. 5"
Новостройки,13,8425000,лоджия,,кирпичный,без отделки,2,,10.9 м²,10.9 м²,10,1,,,,,33.8 м²,,55.80853,49.23026,"р-н Советский, с. Константиновка, ул. Анаса Тазетдинова, д. 5"
Новостройки,29,12050000,лоджия,,кирпичный,без отделки,6,,12.4 м²,32.2 м²,20,2,,,,,65.7 м²,,55.73732,49.14358,"р-н Приволжский, ул. Владимира Кулагина, стр. 1"
Вторичка,163,6799000,лоджия,совмещенный,кирпичный,,2,"кухня, хранение одежды, спальные места",,23.3 м²,19,студия,"подземная, открытая во дворе, за шлагбаумом во дворе",косметический,2.7 м,"холодильник, стиральная машина",32.9 м²,2017,55.748969,49.183085,"Республика Татарстан, Казань, ул. Профессора Камая, 10к3"
Вторичка,3097,12999999,лоджия,совмещенный,монолитный,,15,,17.8 м²,35 м²,20,2,,евро,,,56 м²,2021,55.781823,49.149587,"Республика Татарстан, Казань, ул. Вишневского, 59Ак1"
Вторичка,1174,8590000,,,панельный,,2,,9 м²,,5,3,,евро,,,58 м²,1963,55.829062,49.086247,"Республика Татарстан (Татарстан), Казань, Волгоградская ул., 9"
Вторичка,141,12000000,,совмещенный,кирпичный,,1,,4 м²,15 м²,3,1,,дизайнерский,,,19 м²,,55.797508,49.113699,"Республика Татарстан, Казань, ул. Карла Маркса, 11А"
Вторичка,132,9500000,лоджия,совмещенный,кирпичный,,5,,28 м²,,18,1,,требует ремонта,,,40.5 м²,2023,55.774897,49.20451,"Республика Татарстан (Татарстан), Казань, Бухарская ул., 32к2"
Вторичка,169,4490000,балкон,совмещенный,кирпичный,,2,"кухня, хранение одежды, спальные места",7 м²,,3,1,открытая во дворе,дизайнерский,2.7 м,"холодильник, стиральная машина",30 м²,2018,55.810557,49.439536,"Республика Татарстан, Пестречинский р-н, Шигалеевское сельское поселение, с. Новое Шигалеево, ул. Габдуллы Тукая, 33"
Новостройки,38,14300000,лоджия,,кирпичный,без отделки,4,,14.3 м²,36.5 м²,20,2,,,,,74 м²,,55.73732,49.14358,"р-н Приволжский, ул. Владимира Кулагина, стр. 1"
Вторичка,352,17850000,лоджия,"совмещенный, раздельный",кирпичный,,6,,21.4 м²,32.3 м²,10,2,,евро,,,86 м²,2007,55.779687,49.14877,"Республика Татарстан, Казань, Бойничная ул., 5"
Вторичка,934,18050000,лоджия,совмещенный,кирпичный,,6,,19.1 м²,83.2 м²,9,4,,евро,,,148.2 м²,2002,55.788348,49.174533,"Республика Татарстан, Казань, Советский район, Спортивная ул., 33"
Вторичка,274,6990000,,,кирпичный,,2,,9.6 м²,,5,1,,косметический,,,35 м²,2014,55.760621,49.247458,"Республика Татарстан (Татарстан), Казань, ул. Дмитрия Менделеева, 17"
Вторичка,1972,17500000,лоджия,совмещенный,монолитный,,6,,12 м²,55 м²,14,3,,дизайнерский,,,89 м²,2015,55.814082,49.070275,"Республика Татарстан, Казань, Краснококшайская ул., 84"
Вторичка,203,5200000,,совмещенный,панельный,,3,,5.6 м²,,5,2,,косметический,,,37 м²,1971,55.859766,49.223716,"р-н Советский, Республика Татарстан (Татарстан), Казань, Парковая ул., 17"
Вторичка,158,5997600,,совмещенный,монолитно-кирпичный,,2,,18.2 м²,,18,2,наземная многоуровневая,требует ремонта,2.6 м,,36 м²,,55.72873250819677,49.19016757115441,"Республика Татарстан (Татарстан), Казань, ул. Оренбургский Тракт, 140Г"
Новостройки,22,13460000,лоджия,,кирпичный,без отделки,2,,16.8 м²,27.3 м²,10,2,,,,,63.9 м²,,55.80853,49.23026,"р-н Советский, с. Константиновка, ул. Анаса Тазетдинова, д. 5"
Вторичка,1052,5250000,балкон,совмещенный,монолитный,,6,,6.5 м²,19.8 м²,10,1,,косметический,,,35 м²,2022,55.858043,48.90821,"р-н Кировский, Республика Татарстан, Казань, ул. Генерала Махмута Гареева, 5Б"
Вторичка,1913,20000000,балкон,совмещенный,кирпичный,,6,,20 м²,40 м²,9,3,,косметический,,,73 м²,2019,55.821537,49.067571,"Республика Татарстан (Татарстан), Казань, ул. Галимджана Баруди, 16"
Вторичка,842,5790000,балкон,раздельный,кирпичный,,4,,7.5 м²,,9,1,,евро,,,27.3 м²,1998,55.813182,49.196704,"р-н Советский, Республика Татарстан (Татарстан), Казань, Ново-Азинская ул., 12"
Вторичка,196,18000000,лоджия,раздельный,кирпичный,,1,,13 м²,35.1 м²,10,2,,косметический,2.8 м,,67.7 м²,2020,55.798389,49.182124,"р-н Советский, Республика Татарстан, Казань, ул. Николая Ершова, 66В"
Вторичка,279,8999000,балкон,раздельный,панельный,,6,,8 м²,33 м²,10,2,,косметический,,,53 м²,2006,55.861747,49.077704,"Республика Татарстан (Татарстан), Казань, ул. Челюскина, 26"
Новостройки,28,9170000,лоджия,,кирпичный,без отделки,4,,14.8 м²,14.4 м²,10,1,,,,,37.7 м²,,55.80853,49.23026,"р-н Советский, с. Константиновка, ул. Анаса Тазетдинова, д. 5"
Вторичка,392,12100000,лоджия,раздельный,кирпичный,,14,,8.9 м²,40 м²,16,2,,евро,,,60 м²,2006,55.742372,49.20186,"Республика Татарстан, Казань, ул. Юлиуса Фучика, 8Б"
Вторичка,2509,8790000,балкон,раздельный,кирпичный,,2,,16.5 м²,16.5 м²,10,1,,евро,,,36.4 м²,2019,55.762059,49.200468,"Республика Татарстан, Казань, пр. Яраткан, 4"
Вторичка,155,7499000,,,кирпичный,,3,,9.2 м²,,5,3,,евро,,,60 м²,1999,55.84863,48.916016,"р-н Кировский, Республика Татарстан (Татарстан), Казань, Залесная ул., 2А"
Вторичка,40,9300000,балкон,совмещенный,кирпичный,,6,,9 м²,17 м²,16,1,,косметический,,,41 м²,2011,55.753894,49.234792,"Республика Татарстан, Казань, ул. Юлиуса Фучика, 58Б"
Вторичка,325,10050000,балкон,раздельный,кирпичный,,7,,10.2 м²,,9,1,,евро,,,46 м²,2006,55.81304,49.188673,"р-н Советский, Республика Татарстан (Татарстан), Казань, ул. Журналистов, 30"
Новостройки,90,7301000,лоджия,,кирпичный,чистовая,8,,7.4 м²,13.1 м²,9,1,,,,,31.4 м²,,55.81415,49.42791,"с. Новое Шигалеево, стр. 2.2"
Вторичка,375,10450000,лоджия,совмещенный,монолитно-кирпичный,,11,,10.5 м²,16.8 м²,15,1,,требует ремонта,,,42.3 м²,2025,55.810536,49.074209,"Республика Татарстан (Татарстан), Казань, Краснококшайская ул., 60"
Вторичка,3079,9800000,лоджия,раздельный,кирпичный,,13,,9 м²,44 м²,14,3,,косметический,,,62.2 м²,1993,55.836378,49.103953,"Республика Татарстан, Казань, ул. Маршала Чуйкова, 1"
Вторичка,77,11050000,балкон,совмещенный,кирпичный,,15,,9.8 м²,48 м²,22,2,открытая во дворе,дизайнерский,2.7 м,,65.5 м²,2010,55.732636,49.173096,"Республика Татарстан (Татарстан), Казань, ул. Баки Урманче, 6"
Вторичка,214,8300000,балкон,совмещенный,панельный,,5,,6 м²,25.1 м²,5,3,,косметический,,,59.1 м²,1973,55.831903,49.122584,"Республика Татарстан (Татарстан), Казань, ул. Мусина, 49"
Вторичка,1892,3050000,балкон,совмещенный,кирпичный,,3,,,,4,студия,,евро,,,16 м²,1936,55.85342,49.076958,"Республика Татарстан (Татарстан), Казань, ул. Лядова, 14"
Вторичка,580,12550000,лоджия,совмещенный,монолитно-кирпичный,,2,,11 м²,33 м²,20,3,,евро,2.8 м,,62 м²,2015,55.749218,49.184729,"Республика Татарстан, Казань, ул. Профессора Камая, 10к1"
Вторичка,775,7700000,лоджия,раздельный,кирпичный,,6,,7.5 м²,24 м²,10,2,,косметический,,,41 м²,1997,55.745934,49.19179,"Республика Татарстан, Казань, ул. Хусаина Мавлютова, 41"
Вторичка,96,9000000,,совмещенный,кирпичный,,4,,8.4 м²,37.3 м²,9,3,открытая во дворе,требует ремонта,2.7 м,,59.3 м²,1984,55.838218,49.118577,"Республика Татарстан, Казань, ул. Голубятникова, 30"
Вторичка,2204,7300000,,совмещенный,панельный,,1,,5.5 м²,18.5 м²,5,1,,дизайнерский,,,31.5 м²,1966,55.780532,49.104779,"Республика Татарстан, Казань, ул. Галиаскара Камала, 47"
Вторичка,613,3590000,,совмещенный,кирпичный,,3,,,,5,студия,,косметический,,,21 м²,1962,55.835761,49.091071,"Республика Татарстан, Казань, ул. Восстания, 24"
Новостройки,15,10630000,лоджия,,кирпичный,без отделки,7,,10.2 м²,24.1 м²,10,2,,,,,44.4 м²,,55.80853,49.23026,"р-н Советский, с. Константиновка, ул. Анаса Тазетдинова, д. 5"
Вторичка,557,11000000,"балкон, лоджия",раздельный,панельный,,6,,10.9 м²,38.5 м²,10,3,,евро,2.5 м,,62.8 м²,2004,55.767605,49.242015,"Республика Татарстан (Татарстан), Казань, ул. Ноксинский Спуск, 26"
Вторичка,80,11699000,лоджия,раздельный,кирпичный,,5,,10 м²,26 м²,10,2,,евро,,,53 м²,2022,55.788429,49.252768,"р-н Советский, Республика Татарстан, Казань, ул. Азата Аббасова, 19"
Вторичка,770,15899000,балкон,раздельный,кирпичный,,2,,19.2 м²,,10,3,,евро,,,111.5 м²,2006,55.808073,49.190613,"р-н Советский, Республика Татарстан, Казань, ул. Журналистов, 6"
Вторичка,552,8300000,балкон,совмещенный,монолитный,,2,,8.1 м²,26.5 м²,19,2,,евро,2.7 м,,48.8 м²,2019,55.845046,48.907069,"р-н Кировский, Республика Татарстан, Казань, Кировский район, жилой массив Залесный, ул. Гавриила Державина, 3к4"
Новостройки,40,9231000,лоджия,,кирпичный,без отделки,2,,,17.6 м²,10,студия,,,,,33.7 м²,,55.80853,49.23026,"р-н Советский, с. Константиновка, ул. Анаса Тазетдинова, д. 5"
Вторичка,465,5990000,балкон,совмещенный,панельный,,5,,9 м²,18.4 м²,10,1,,косметический,,,35.3 м²,2024,55.683858,49.212586,"Республика Татарстан, Лаишевский р-н, Столбищенское сельское поселение, с. Усады, Счастливая ул., 11"
Вторичка,3068,16999000,лоджия,раздельный,монолитный,,12,,25 м²,55 м²,22,3,,дизайнерский,,,97 м²,2019,55.776462,49.217886,"Республика Татарстан, Казань, пр-т Победы, 139к2"
Вторичка,1165,10900000,балкон,раздельный,кирпичный,,1,,15 м²,,10,1,,евро,,,53.4 м²,2016,55.794988,49.179375,"Республика Татарстан, Казань, ул. Николая Ершова, 62Г"
Вторичка,1645,6000000,балкон,совмещенный,панельный,,5,,6 м²,28.4 м²,5,2,,евро,,,47.4 м²,1963,55.828956,49.08772,"Республика Татарстан (Татарстан), Казань, Волгоградская ул., 13"
Вторичка,136,15270000,"балкон, лоджия","совмещенный, раздельный",монолитно-кирпичный,,2,,13.1 м²,47.4 м²,19,3,за шлагбаумом во дворе,требует ремонта,2.7 м,,80 м²,2024,55.78119967423721,49.188089335883056,"Республика Татарстан (Татарстан), Казань, ул. Аделя Кутуя, 100"
Вторичка,29,16500000,балкон,совмещенный,монолитно-кирпичный,,3,,9.8 м²,26.3 м²,19,2,"подземная, наземная многоуровневая",требует ремонта,2.8 м,,56.1 м²,2025,55.827934,49.163915,"р-н Ново-Савиновский, Республика Татарстан (Татарстан), Казань, ул. Гаврилова, 5"
Новостройки,10,13500000,лоджия,,кирпичный,без отделки,4,,16.8 м²,27.3 м²,10,2,,,,,63.9 м²,,55.80853,49.23026,"р-н Советский, с. Константиновка, ул. Анаса Тазетдинова, д. 5"
Новостройки,1935,8103000,,совмещенный,монолитный,предчистовая,8,,17 м²,10 м²,17,1,наземная многоуровневая,,2.6 м,,36 м²,,55.825113,49.152345,"р-н Ново-Савиновский, Республика Татарстан, Казань, пр-т Ямашева, 97"
Вторичка,2022,8500000,лоджия,совмещенный,кирпичный,,6,,12.6 м²,17 м²,10,1,за шлагбаумом во дворе,требует ремонта,2.7 м,,43.7 м²,2018,55.803428,49.202417,"р-н Советский, Республика Татарстан, Казань, ул. Зур Урам, 1И"
Вторичка,118,5965000,,совмещенный,монолитно-кирпичный,,3,,,15 м²,17,студия,"наземная многоуровневая, открытая во дворе",требует ремонта,2.7 м,,20.2 м²,2025,55.80644696894863,49.22460902908327,"р-н Советский, Республика Татарстан (Татарстан), Казань, ул. Анаса Тазетдинова, 1к3"
Вторичка,301,6299000,балкон,раздельный,панельный,,4,,6 м²,41 м²,5,3,,косметический,,,56 м²,1966,55.822847,49.044808,"Республика Татарстан, Казань, Кировский район, Светлая ул., 24"
Новостройки,8,11016000,лоджия,,кирпичный,без отделки,6,,14.8 м²,14.4 м²,10,1,,,,,37.7 м²,,55.80853,49.23026,"р-н Советский, с. Константиновка, ул. Анаса Тазетдинова, д. 5"
Вторичка,3341,6999000,лоджия,,панельный,,2,,8.3 м²,27.9 м²,10,2,,требует ремонта,,,52.4 м²,,55.838314,49.132851,"Республика Татарстан (Татарстан), Казань, ул. Фатыха Амирхана, 83"
Вторичка,552,10500000,лоджия,совмещенный,монолитный,,16,,12 м²,32 м²,17,2,,евро,,,57.3 м²,2016,55.803368,49.240254,"р-н Советский, Республика Татарстан, Казань, ул. Натана Рахлина, 13"
Вторичка,245,5100000,,раздельный,монолитный,,13,,,13.7 м²,19,студия,,евро,,,26.5 м²,2022,55.680235,49.201707,"р-н Приволжский, Республика Татарстан, Казань, ул. Ярышлар, 6"
Вторичка,788,8999000,лоджия,,кирпичный,,2,,15 м²,,6,1,,дизайнерский,,,35.4 м²,2018,55.794958,49.229573,"р-н Советский, Республика Татарстан (Татарстан), Казань, ул. Туганлык, 5А"
Вторичка,2577,11190000,,совмещенный,кирпичный,,2,,11 м²,39 м²,4,3,,дизайнерский,3 м,,74 м²,2011,55.817876,49.232744,"р-н Советский, Республика Татарстан, Казань, ул. Гидромонтажников, 26"
Новостройки,5,9190000,лоджия,,кирпичный,без отделки,6,,14.6 м²,10.5 м²,10,1,,,,,37.5 м²,,55.80853,49.23026,"р-н Советский, с. Константиновка, ул. Анаса Тазетдинова, д. 5"
Вторичка,173,15536000,лоджия,раздельный,монолитно-кирпичный,,5,,26.7 м²,,19,3,"подземная, наземная многоуровневая",требует ремонта,2.9 м,,90 м²,2022,55.81871,49.146461,"Республика Татарстан (Татарстан), Казань, Чистопольская ул., 88"
Вторичка,609,125000000,,совмещенный,монолитный,,3,,30 м²,100 м²,4,5,,дизайнерский,,,316.8 м²,2005,55.799892,49.123626,"Республика Татарстан, Казань, ул. Касаткина, 15"
Вторичка,138,30499000,лоджия,совмещенный,кирпичный,,3,,13.3 м²,60.9 м²,5,3,,дизайнерский,,,92.5 м²,2015,55.785954,49.140379,"Республика Татарстан, Казань, ул. Айвазовского, 16"
Вторичка,672,7990000,лоджия,,кирпичный,,7,,13.7 м²,,9,1,,требует ремонта,,,33.3 м²,2023,55.738617,49.159289,"Республика Татарстан, Казань, ул. Ярдем, 3"
Вторичка,284,8550000,балкон,совмещенный,кирпичный,,9,,15 м²,20 м²,16,1,,евро,,,40 м²,,55.824814,49.078045,"Республика Татарстан, Казань, ул. Энергетиков, 9"
Новостройки,38,10160000,лоджия,,кирпичный,без отделки,4,,20.4 м²,13.8 м²,20,1,,,,,43.1 м²,,55.73732,49.14358,"р-н Приволжский, ул. Владимира Кулагина, стр. 1"
Вторичка,25,12999999,балкон,совмещенный,монолитно-кирпичный,,19,,9.9 м²,14.6 м²,19,1,"подземная, наземная многоуровневая",требует ремонта,2.8 м,,35.5 м²,2025,55.827934,49.163915,"р-н Ново-Савиновский, Республика Татарстан (Татарстан), Казань, ул. Гаврилова, 5"
