тип,Пр.Всего,Цена,Балк/Лодж,Санузел,Тип дома,Отделка,Этаж,Мебель,ПлощКухни,ЖилПлощ,Кол-воЭтаж,Кол-воКомн,Парковка,Ремонт,ВысПотол,Техника,ОбщПлощ,ГодПостр,Широта,Долгота,Адрес
Вторичка,202,10100000,лоджия,совмещенный,кирпичный,,8,,9 м²,15 м²,10,1,подземная,требует ремонта,2.6 м,,36.3 м²,2019,55.796977,49.182178,"Республика Татарстан, Казань, ул. Разведчика Ахмерова, 7"
Вторичка,3418,6500000,лоджия,раздельный,кирпичный,,3,,15 м²,32 м²,5,2,открытая во дворе,требует ремонта,2.7 м,,59.7 м²,2022,55.86755336508834,48.83327288107683,"Республика Татарстан, Зеленодольский р-н, Осиновское сельское поселение, с. Новая Тура, Дорожная ул., 8"
Вторичка,53,8100000,лоджия,совмещенный,монолитный,,6,кухня,12.7 м²,15 м²,9,1,"открытая во дворе, за шлагбаумом во дворе",евро,2.8 м,стиральная машина,41.5 м²,2014,55.834477,49.059145,"Республика Татарстан (Татарстан), Казань, ул. Восстания, 80А"
Вторичка,1637,8299000,балкон,совмещенный,кирпичный,,8,"кухня, хранение одежды, спальные места",12 м²,19 м²,,1,"подземная, открытая во дворе, за шлагбаумом во дворе",косметический,2.7 м,"холодильник, стиральная машина",54.7 м²,,55.73064041,49.16921616,"Республика Татарстан, Казань, ул. Баки Урманче, 10"
Вторичка,6499,14990000,лоджия,совмещенный,монолитно-кирпичный,,3,"кухня, хранение одежды, спальные места",19.3 м²,25 м²,19,2,"наземная многоуровневая, за шлагбаумом во дворе",дизайнерский,2.7 м,"кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",45.6 м²,2018,55.7973671,49.1866951,"р-н Советский, Республика Татарстан, Казань, пр. Юнуса Ахметзянова, 10"
Вторичка,473,16500000,,совмещенный,монолитный,,8,,24 м²,,21,1,подземная,требует ремонта,,,46.5 м²,2024,55.815260205475596,49.14405462327571,"Республика Татарстан (Татарстан), Казань, ул. Сибгата Хакима, 62"
Вторичка,1306,8300000,балкон,раздельный,монолитный,,8,,12 м²,19 м²,16,1,,косметический,2.8 м,,53.6 м²,2012,55.730639,49.169215,"Республика Татарстан (Татарстан), Казань, ул. Баки Урманче, 10"
Вторичка,3493,7900000,балкон,совмещенный,кирпичный,,4,"кухня, хранение одежды",8 м²,,10,1,открытая во дворе,евро,2.7 м,"кондиционер, холодильник, стиральная машина, водонагреватель",44.7 м²,,55.72946167,49.17484665,"Республика Татарстан, Казань, ул. Гарифа Ахунова, 14"
Вторичка,11970,30990000,лоджия,"совмещенный, раздельный",монолитно-кирпичный,,6,"кухня, хранение одежды, спальные места",27 м²,21 м²,7,2,"подземная, открытая во дворе",дизайнерский,3.3 м,"кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",68.5 м²,2021,55.813014049194265,49.13560432760826,"Республика Татарстан (Татарстан), Казань, ул. Алексея Козина, 2"
Вторичка,1027,2790000,,совмещенный,кирпичный,,5,,,,5,студия,,евро,,,17 м²,,55.86221695,49.09963989,"Республика Татарстан, Казань, Авиастроительный район, Молодёжная ул., 10"
Вторичка,3341,15000000,лоджия,раздельный,кирпичный,,5,,13.8 м²,87.4 м²,6,6,,требует ремонта,3 м,,154.9 м²,1994,55.802351,49.17147,"Республика Татарстан, Казань, ул. Николая Ершова, 49А"
Вторичка,1068,21955000,лоджия,раздельный,монолитно-кирпичный,,19,,21 м²,,20,3,"подземная, открытая во дворе",требует ремонта,3.1 м,,68.2 м²,2021,55.81336594,49.13636398,"Республика Татарстан (Татарстан), Казань, ул. Алексея Козина, 2"
Вторичка,8122,5340000,балкон,совмещенный,кирпичный,,3,,6.3 м²,17.8 м²,9,1,открытая во дворе,евро,2.6 м,,31 м²,1984,55.85922623,49.23138046,"р-н Советский, Республика Татарстан, Казань, ул. Солидарности, 28"
Вторичка,195,4150000,"балкон, лоджия",совмещенный,кирпичный,,1,"кухня, хранение одежды, спальные места",,16.3 м²,3,студия,открытая во дворе,дизайнерский,2.7 м,стиральная машина,25 м²,2017,55.811629,49.435817,"Республика Татарстан (Татарстан), Пестречинский р-н, Шигалеевское сельское поселение, с. Новое Шигалеево, ул. Габдуллы Тукая, 14"
Вторичка,3694,6450000,,совмещенный,блочный,,2,"кухня, хранение одежды, спальные места",15.6 м²,41.1 м²,3,2,открытая во дворе,евро,,"кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",77 м²,2016,55.704311,49.358562,"Республика Татарстан, Пестречинский р-н, Богородское сельское поселение, д. Куюки, 5-й квартал, 4"
Вторичка,64,9000000,лоджия,совмещенный,монолитный,,14,,9 м²,16.1 м²,24,1,подземная,евро,,,41.7 м²,2021,55.780775,49.194125,"Республика Татарстан, Казань, ул. Аделя Кутуя, 110Дк2"
Вторичка,500,11599999,лоджия,совмещенный,монолитный,,13,,12 м²,28 м²,19,2,,евро,,,42 м²,2021,55.803155,49.181953,"р-н Советский, Республика Татарстан (Татарстан), Казань, ул. Николая Ершова, 65Б/2"
Вторичка,3208,23000000,лоджия,раздельный,монолитно-кирпичный,,9,"кухня, хранение одежды, спальные места",25 м²,70 м²,18,4,за шлагбаумом во дворе,евро,2.7 м,"кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",113 м²,2009,55.833471,49.135061,"Республика Татарстан (Татарстан), Казань, ул. Фатыха Амирхана, 14А"
Вторичка,1503,6500000,балкон,совмещенный,панельный,,5,,6.6 м²,,5,3,открытая во дворе,требует ремонта,,,60.6 м²,,55.83457947,49.12889862,"Республика Татарстан (Татарстан), Казань, ул. Маршала Чуйкова, 42"
Вторичка,248,9383500,лоджия,совмещенный,монолитный,,15,,9.4 м²,17.1 м²,21,1,"подземная, наземная многоуровневая, за шлагбаумом во дворе",требует ремонта,2.7 м,,38.3 м²,2023,55.743036,49.230786,"Республика Татарстан (Татарстан), Казань, ул. Комиссара Габишева, 16А"
Вторичка,4735,16289000,лоджия,раздельный,кирпичный,,8,"кухня, хранение одежды",15.7 м²,39.6 м²,11,2,за шлагбаумом во дворе,евро,2.8 м,"кондиционер, посудомоечная машина, водонагреватель",82.1 м²,2005,55.824359,49.079339,"Республика Татарстан (Татарстан), Казань, ул. Соловецких Юнг, 1"
Вторичка,9011,33900000,балкон,"совмещенный, раздельный",монолитно-кирпичный,,19,"кухня, хранение одежды, спальные места",25 м²,,23,4,подземная,дизайнерский,3.2 м,кондиционер,106 м²,2024,55.7523094510252,49.166972568385134,"Республика Татарстан (Татарстан), Казань, Танковая ул., 2"
Вторичка,2165,22980000,балкон,совмещенный,монолитно-кирпичный,,4,,12 м²,49 м²,7,3,,дизайнерский,,,90 м²,2021,55.800301,48.955003,"р-н Кировский, Республика Татарстан (Татарстан), Казань, Кировский район, Приволжская ул., 210с2"
Вторичка,3098,23999000,лоджия,раздельный,кирпичный,,4,,13.5 м²,47.2 м²,10,3,,дизайнерский,,,81.3 м²,,55.797356,49.180687,"Республика Татарстан, Казань, ул. Разведчика Ахмерова, 5"
Вторичка,1283,9250000,"балкон, лоджия",совмещенный,кирпичный,,8,"кухня, хранение одежды, спальные места",8 м²,42 м²,10,2,открытая во дворе,дизайнерский,2.6 м,"кондиционер, стиральная машина, посудомоечная машина",50.2 м²,1996,55.75516891,49.18956375,"Республика Татарстан, Казань, ул. Хусаина Мавлютова, 9"
Вторичка,8063,10950000,лоджия,совмещенный,монолитно-кирпичный,,7,"кухня, хранение одежды, спальные места",21 м²,9 м²,20,1,"подземная, наземная многоуровневая",евро,2.7 м,"холодильник, стиральная машина, посудомоечная машина",39 м²,,55.7816658,49.18772888,"Республика Татарстан, Казань, ул. Аделя Кутуя, 100"
Вторичка,132,8650000,балкон,совмещенный,кирпичный,,6,,12 м²,,10,1,за шлагбаумом во дворе,евро,,,39.8 м²,,55.79528809,49.1901741,"р-н Советский, Республика Татарстан, Казань, ул. Патриса Лумумбы, 62А"
Новостройки,3687,4670325,лоджия,раздельный,кирпичный,предчистовая,2,,10.6 м²,,3,1,"открытая во дворе, за шлагбаумом во дворе",,3 м,,40.7 м²,,55.73595,48.82341,"с. Лесные Моркваши, пр-т Созидателей, д. 2"
Новостройки,79,15146942,лоджия,,монолитно-кирпичный,без отделки,12,,12 м²,35 м²,14,2,,,,,61.1 м²,,55.77717,49.20217,"ул. Бухарская, стр. 5"
Вторичка,4022,6190000,балкон,совмещенный,панельный,,5,,6 м²,32 м²,5,2,открытая во дворе,косметический,,,45.7 м²,1967,55.83141708,49.06371689,"Республика Татарстан, Казань, ул. Шамиля Усманова, 33"
Вторичка,4225,8599000,лоджия,раздельный,панельный,,9,кухня,7.5 м²,39.4 м²,9,3,открытая во дворе,евро,2.8 м,"кондиционер, водонагреватель",67.6 м²,1981,55.75712585,49.23392105,"Республика Татарстан (Татарстан), Казань, ул. Академика Завойского, 14/74"
Новостройки,423,12286080,балкон,"совмещенный, раздельный",монолитный,предчистовая,6,,19.1 м²,36.9 м²,12,3,"подземная, за шлагбаумом во дворе",,2.7 м,,71.1 м²,,55.80573,49.22513,"р-н Советский, с. Константиновка, стр. 5"
Новостройки,117,6940000,,,монолитно-кирпичный,предчистовая,8,,,12.4 м²,15,1,,,,,31 м²,,55.84603,49.09368,"ул. Михаила Миля, д. 4"
Новостройки,544,11595127,,"совмещенный, раздельный",монолитный,предчистовая,10,,18.5 м²,36.7 м²,12,3,за шлагбаумом во дворе,,2.6 м,,70.9 м²,,55.80589,49.22406,"р-н Советский, с. Константиновка, стр. 3"
Новостройки,323,34004604,,совмещенный,монолитно-кирпичный,без отделки,2,,13.5 м²,53.1 м²,4,3,подземная,,3 м,,107 м²,,55.77592,49.11506,"ул. Сары Садыковой, корп. 3"
Новостройки,1055,9665800,лоджия,,монолитно-кирпичный,предчистовая,6,,14.8 м²,24.1 м²,10,2,,,,,52 м²,,55.71913,49.16621,"р-н Приволжский, ул. Рауиса Гареева, уч. 78Б"
Новостройки,587,12360000,,,монолитно-кирпичный,предчистовая,10,,14.8 м²,29.7 м²,19,2,,,,,61.1 м²,,55.77831,49.1856,"ул. Мансура Хасанова, д. 19"
Вторичка,3040,7290000,балкон,совмещенный,панельный,,2,кухня,6 м²,32 м²,5,2,открытая во дворе,евро,,стиральная машина,43.5 м²,1973,55.750449,49.200899,"Республика Татарстан, Казань, ул. Гарифьянова, 36"
Новостройки,4046,22500000,лоджия,,монолитный,предчистовая,24,,29.4 м²,,25,3,,,,,118.5 м²,,55.76774,49.17494,"Аметьевская магистраль, д. 18, корп. 5"
Новостройки,12534,84221092,балкон,,монолитно-кирпичный,без отделки,20,,,93.1 м²,28,свободная планировка,"подземная, открытая во дворе",,3.1 м,,179.7 м²,,55.81241,49.13999,"ул. Алексея Козина, стр. 1"
Вторичка,139,8450000,,совмещенный,монолитно-кирпичный,,19,"кухня, хранение одежды, спальные места",13 м²,15 м²,25,1,"подземная, наземная многоуровневая, открытая во дворе",евро,2.7 м,"кондиционер, холодильник, стиральная машина",33.8 м²,2022,55.72201594788982,49.18339123891053,"Республика Татарстан (Татарстан), Казань, ул. Братьев Батталовых, 20Ак2"
Новостройки,245,7650720,,раздельный,монолитный,предчистовая,11,,15.4 м²,22.7 м²,12,2,открытая во дворе,,2.6 м,,48.3 м²,,55.68634,49.19768,"р-н Приволжский, Матюшинский тракт, корп. 1"
Новостройки,59,11948172,балкон,"совмещенный, раздельный",монолитный,,2,,16.5 м²,26.5 м²,9,2,открытая во дворе,,2.7 м,,58 м²,,55.81747,49.18425,"р-н Советский, Республика Татарстан (Татарстан), Казань, улица Сибирский Тракт, 34к9"
Вторичка,695,8150000,балкон,совмещенный,кирпичный,,2,"кухня, хранение одежды, спальные места",7 м²,32 м²,5,2,открытая во дворе,дизайнерский,2.6 м,,43 м²,,55.82466888,49.08146667,"Республика Татарстан, Казань, Тверская ул., 7"
Новостройки,1099,11983510,,совмещенный,монолитный,предчистовая,2,,24.8 м²,34.2 м²,17,3,"наземная многоуровневая, открытая во дворе",,2.7 м,,86.9 м²,,55.80707,49.22512,"р-н Советский, ул Анаса Тазетдинова, стр. 9"
Новостройки,3388,30100000,,раздельный,монолитно-кирпичный,чистовая,7,,12.6 м²,,15,3,подземная,,,,82.6 м²,,55.81686,49.14665,"ул. Сибгата Хакима, д. 51"
Новостройки,3594,11407880,"балкон, лоджия",совмещенный,монолитно-кирпичный,предчистовая,5,,21.2 м²,15.4 м²,6,2,подземная,,2.7 м,,47.1 м²,,55.803,49.05729,"ул. Урицкого, стр. 1"
Вторичка,656,8850000,балкон,совмещенный,кирпичный,,6,"кухня, хранение одежды, спальные места",10.1 м²,17.7 м²,14,1,открытая во дворе,косметический,2.6 м,"холодильник, стиральная машина, посудомоечная машина, водонагреватель",40.3 м²,2010,55.83827972,49.15264893,"р-н Ново-Савиновский, Республика Татарстан, Казань, ул. Адоратского, 36В"
Новостройки,1359,16851545,балкон,"совмещенный, раздельный",монолитно-кирпичный,без отделки,4,,5.9 м²,79.6 м²,5,3,подземная,,3 м,,85.5 м²,,55.74582,48.73824,"ул. Спортивная, д. 98"
Вторичка,61,2750000,,совмещенный,кирпичный,,1,"кухня, хранение одежды, спальные места",,13 м²,5,студия,открытая во дворе,евро,2.4 м,"холодильник, стиральная машина, водонагреватель",15 м²,1986,55.814123,49.183957,"р-н Советский, Республика Татарстан (Татарстан), Казань, ул. Академика Кирпичникова, 27"
Новостройки,995,13058965,,,монолитный,предчистовая,3,,6.1 м²,41.1 м²,13,2,подземная,,2.7 м,,69.7 м²,,55.86196,49.09699,"ул. Годовикова, «Авторы на Годовикова»"
Вторичка,498,17800000,лоджия,раздельный,монолитный,,7,,20 м²,19 м²,20,1,,дизайнерский,,,49.6 м²,2021,55.813364,49.136364,"Республика Татарстан (Татарстан), Казань, ул. Алексея Козина, 2"
Новостройки,8058,4371124,лоджия,,монолитно-кирпичный,предчистовая,5,,,11.8 м²,7,студия,открытая во дворе,,2.7 м,,26.4 м²,,55.83289,48.77527,"пос. Октябрьский, корп. 2.2"
Новостройки,5058,7750000,лоджия,раздельный,кирпичный,чистовая,2,,10.6 м²,,3,1,"открытая во дворе, за шлагбаумом во дворе",,3 м,,40.2 м²,,55.73595,48.82341,"с. Лесные Моркваши, пр-т Созидателей, д. 2"
Вторичка,236,8150000,,совмещенный,панельный,,3,"кухня, хранение одежды, спальные места",7 м²,27 м²,5,2,открытая во дворе,дизайнерский,2.7 м,,47 м²,,55.76300812,49.1800499,"Республика Татарстан, Казань, ул. Карбышева, 13А"
Вторичка,1316,3499000,,совмещенный,кирпичный,,6,,,,9,студия,,евро,,,17.5 м²,,55.753635,49.178369,"Республика Татарстан, Казань, ул. Карбышева, 62"
Новостройки,98,15575895,лоджия,,монолитно-кирпичный,без отделки,21,,12.7 м²,28.5 м²,22,2,,,,,59.1 м²,,55.77717,49.20217,"ул. Бухарская, стр. 5"
Вторичка,1403,5650000,балкон,совмещенный,панельный,,2,,7 м²,16 м²,9,1,открытая во дворе,косметический,2.5 м,"холодильник, стиральная машина",31 м²,1970,55.755023,49.166089,"Республика Татарстан (Татарстан), Казань, ул. Латышских Стрелков, 33"
Новостройки,1743,11340000,лоджия,раздельный,монолитно-кирпичный,предчистовая,8,,22.4 м²,25.4 м²,9,2,наземная многоуровневая,,2.7 м,,70 м²,,55.73538,49.16065,"ул. Рашита Салахова, стр. 3"
Вторичка,507,7199000,балкон,совмещенный,кирпичный,,3,"кухня, спальные места",7 м²,20 м²,5,1,открытая во дворе,дизайнерский,2.5 м,"холодильник, стиральная машина",31.4 м²,1970,55.787123,49.158121,"Республика Татарстан, Казань, ул. Достоевского, 74А"
Новостройки,525,6101000,лоджия,,монолитно-кирпичный,предчистовая,4,,,21.1 м²,10,студия,,,,,26.6 м²,,55.71913,49.16621,"р-н Приволжский, ул. Рауиса Гареева, уч. 78Б"
Вторичка,4203,22999000,"балкон, лоджия",совмещенный,кирпичный,,7,"кухня, хранение одежды, спальные места",38 м²,50 м²,10,3,"подземная, наземная многоуровневая, открытая во дворе, за шлагбаумом во дворе",дизайнерский,2.8 м,"кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",88 м²,2017,55.79498672,49.17937469,"Республика Татарстан, Казань, ул. Николая Ершова, 62Г"
Новостройки,149,12442034,балкон,"совмещенный, раздельный",монолитный,предчистовая,9,,25 м²,34.9 м²,17,3,"наземная многоуровневая, открытая во дворе",,2.7 м,,88.4 м²,,55.80707,49.22512,"р-н Советский, ул Анаса Тазетдинова, стр. 9"
Вторичка,610,5799000,балкон,раздельный,панельный,,8,"кухня, хранение одежды, спальные места",8.1 м²,14.3 м²,10,1,открытая во дворе,косметический,,холодильник,34.3 м²,1995,55.76969147,49.23370361,"Республика Татарстан, Казань, ул. Юлиуса Фучика, 98"
Новостройки,5723,5277390,лоджия,раздельный,кирпичный,предчистовая,3,,9.7 м²,17 м²,5,1,,,,,40.9 м²,,55.73562,48.82283,"с. Лесные Моркваши, ул. Поселковая з/у 3, стр. 7"
Вторичка,920,9980000,лоджия,совмещенный,панельный,,2,"кухня, хранение одежды, спальные места",10 м²,,9,3,"открытая во дворе, за шлагбаумом во дворе",косметический,,"кондиционер, холодильник, стиральная машина, водонагреватель",70 м²,1988,55.76970673,49.23072433,"Республика Татарстан (Татарстан), Казань, ул. Юлиуса Фучика, 143"
Новостройки,700,5602500,лоджия,раздельный,кирпичный,предчистовая,3,,9.7 м²,,5,1,"открытая во дворе, за шлагбаумом во дворе",,3 м,,41.5 м²,,55.73604,48.82434,"с. Лесные Моркваши, пр-т Созидателей, д. 3"
Вторичка,1625,6990000,лоджия,совмещенный,кирпичный,,2,"кухня, хранение одежды, спальные места",6.1 м²,19 м²,9,1,открытая во дворе,дизайнерский,2.5 м,холодильник,33 м²,1972,55.82615240759975,49.07037745195062,"Республика Татарстан (Татарстан), Казань, ул. Восход, 3"
Новостройки,183,25693515,,,монолитно-кирпичный,без отделки,3,,23.8 м²,18.7 м²,5,1,,,,,52.7 м²,,55.78404,49.12951,"ул. Старая, д. 7"
Вторичка,1054,6100000,лоджия,совмещенный,панельный,,8,"кухня, хранение одежды, спальные места",6 м²,16.9 м²,9,1,открытая во дворе,евро,,,32.7 м²,1982,55.745154,49.227489,"Республика Татарстан (Татарстан), Казань, ул. Сафиуллина, 44"
Вторичка,4204,7999000,"балкон, лоджия",раздельный,панельный,,6,"кухня, хранение одежды, спальные места",8 м²,40 м²,9,3,открытая во дворе,косметический,2.6 м,"кондиционер, холодильник",71 м²,,55.752455,49.23508,"Республика Татарстан (Татарстан), Казань, ул. Юлиуса Фучика, 56"
Новостройки,453,4626440,,совмещенный,монолитный,предчистовая,2,,,11 м²,12,студия,открытая во дворе,,2.6 м,,21.7 м²,,55.68634,49.19768,"р-н Приволжский, Матюшинский тракт, корп. 1"
Вторичка,438,6450000,балкон,совмещенный,панельный,,1,кухня,8 м²,17 м²,10,1,,косметический,,,33 м²,1998,55.82383728,49.11467743,"Республика Татарстан, Казань, ул. Четаева, 43"
Новостройки,325,14462234,лоджия,"совмещенный, раздельный",монолитный,предчистовая,2,,19.8 м²,40 м²,12,3,за шлагбаумом во дворе,,2.6 м,,88.8 м²,,55.80589,49.22406,"р-н Советский, с. Константиновка, стр. 3"
Вторичка,1349,14299900,лоджия,совмещенный,монолитно-кирпичный,,15,"кухня, хранение одежды, спальные места",10.7 м²,,16,2,открытая во дворе,дизайнерский,,"кондиционер, стиральная машина, посудомоечная машина",61.3 м²,2014,55.76551437,49.15858078,"Республика Татарстан, Казань, пр-т Универсиады, 12"
Новостройки,310,19978393,,,монолитно-кирпичный,без отделки,2,,15.9 м²,12 м²,5,1,,,,,38.4 м²,,55.78404,49.12951,"ул. Старая, д. 7"
Вторичка,1650,6700000,балкон,совмещенный,панельный,,4,"кухня, хранение одежды, спальные места",6 м²,30.7 м²,5,2,за шлагбаумом во дворе,евро,2.6 м,стиральная машина,45.6 м²,1965,55.83834457,49.10413361,"Республика Татарстан, Казань, ул. Гагарина, 49"
Новостройки,41,7818189,,совмещенный,монолитный,предчистовая,14,,,14.2 м²,23,студия,открытая во дворе,,2.7 м,,28.1 м²,,55.81747,49.18425,"р-н Советский, Республика Татарстан (Татарстан), Казань, улица Сибирский Тракт, 34к9"
Новостройки,184,7771010,балкон,,панельный,предчистовая,10,,9.9 м²,29.7 м²,10,2,,,,,52.9 м²,,55.68618,49.21619,"ул. Габдуллы Тукая, д. 1"
Вторичка,687,12200000,балкон,совмещенный,монолитно-кирпичный,,12,,15 м²,33.4 м²,19,2,,дизайнерский,,,71.5 м²,,55.767919,49.172323,"Республика Татарстан, Казань, ул. Аметьевская Магистраль, 16к1"
Новостройки,40,9639000,балкон,раздельный,монолитный,предчистовая,9,,16.2 м²,24.1 м²,17,2,"наземная многоуровневая, открытая во дворе",,2.7 м,,51 м²,,55.80707,49.22512,"р-н Советский, ул Анаса Тазетдинова, стр. 9"
Вторичка,76,3597000,,совмещенный,кирпичный,,6,кухня,,16.3 м²,10,студия,открытая во дворе,евро,2.5 м,,18 м²,,55.75363541,49.17836761,"Республика Татарстан, Казань, ул. Карбышева, 62"
Вторичка,457,7190000,балкон,совмещенный,кирпичный,,10,"кухня, хранение одежды, спальные места",9 м²,20 м²,10,1,"наземная многоуровневая, открытая во дворе",евро,2.7 м,"кондиционер, холодильник, стиральная машина",34 м²,2019,55.794295,49.247261,"р-н Советский, Республика Татарстан (Татарстан), Казань, ул. Азата Аббасова, 3"
Новостройки,1985,6048900,лоджия,раздельный,кирпичный,предчистовая,2,,10.2 м²,,5,2,"открытая во дворе, за шлагбаумом во дворе",,3 м,,51.7 м²,,55.73545,48.82345,"с. Лесные Моркваши, пр-т Созидателей, д. 1"
Вторичка,2393,8990000,балкон,совмещенный,панельный,,2,"кухня, хранение одежды, спальные места",8.9 м²,13.8 м²,10,1,открытая во дворе,дизайнерский,2.7 м,"кондиционер, стиральная машина",33.6 м²,,55.82276156227861,49.111326232524505,"Республика Татарстан (Татарстан), Казань, ул. Четаева, 68"
Новостройки,10,34242010,лоджия,совмещенный,монолитно-кирпичный,без отделки,5,,18 м²,37.4 м²,8,3,,,,,94.9 м²,,55.77685,49.14003,"ул. Островского, стр. 3"
Новостройки,2578,5589000,лоджия,раздельный,кирпичный,предчистовая,4,,9.7 м²,,5,1,"открытая во дворе, за шлагбаумом во дворе",,3 м,,41.1 м²,,55.73604,48.82434,"с. Лесные Моркваши, пр-т Созидателей, д. 3"
Вторичка,5559,4490000,,совмещенный,кирпичный,,1,,9 м²,32.7 м²,3,2,открытая во дворе,косметический,,,50 м²,,55.863869,49.080992,"Республика Татарстан (Татарстан), Казань, Авиастроительный район, ул. Чапаева, 15"
Новостройки,48,22004425,,совмещенный,монолитно-кирпичный,без отделки,2,,7.4 м²,39.8 м²,4,3,подземная,,3 м,,68.1 м²,,55.77668,49.11431,"ул. Сары Садыковой, корп. 1"
Вторичка,33,6150000,балкон,раздельный,монолитный,,2,"кухня, спальные места",8.5 м²,38.5 м²,5,3,открытая во дворе,евро,2.7 м,,62.3 м²,1985,55.61238098,49.14558029,"Республика Татарстан (Татарстан), Лаишевский р-н, Габишевское сельское поселение, с. Габишево, Советская ул., 8"
Новостройки,11529,9498549,балкон,совмещенный,монолитно-кирпичный,без отделки,4,,5.4 м²,40.5 м²,5,2,подземная,,3 м,,45.9 м²,,55.74582,48.73824,"ул. Спортивная, д. 98"
Вторичка,2044,30500000,лоджия,"совмещенный, раздельный",монолитно-кирпичный,,8,"кухня, хранение одежды, спальные места",25.4 м²,,20,3,"подземная, открытая во дворе",дизайнерский,,"кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",70.2 м²,2021,55.81330366096172,49.136215590204316,"Республика Татарстан (Татарстан), Казань, ул. Алексея Козина, 2"
Новостройки,478,39296400,,,монолитно-кирпичный,без отделки,2,,19.2 м²,31.8 м²,5,2,,,,,75.6 м²,,55.78404,49.12951,"ул. Старая, д. 7"
Вторичка,0,5300000,балкон,совмещенный,кирпичный,,2,"кухня, хранение одежды, спальные места",5 м²,16 м²,5,1,открытая во дворе,косметический,,"кондиционер, холодильник, стиральная машина, водонагреватель",28.1 м²,,55.84163284,49.08986664,"Республика Татарстан, Казань, ул. Воровского, 13"
Новостройки,990,17391799,,,монолитный,предчистовая,5,,17.5 м²,33.9 м²,13,3,подземная,,2.7 м,,71.7 м²,,55.86196,49.09699,"ул. Годовикова, «Авторы на Годовикова»"
Вторичка,1599,8000000,лоджия,совмещенный,монолитно-кирпичный,,5,,10 м²,18 м²,16,1,,косметический,,,35 м²,2010,55.789062,49.18428,"Республика Татарстан, Казань, пр-т Альберта Камалеева, 14"
Вторичка,1125,6980000,лоджия,совмещенный,монолитный,,11,"кухня, хранение одежды",8.5 м²,20 м²,19,1,открытая во дворе,евро,,кондиционер,36.4 м²,2003,55.791638,49.22121,"р-н Советский, Республика Татарстан (Татарстан), Казань, пр-т Победы, 182"
Вторичка,7239,5300000,,,блочный,,6,,11 м²,,9,1,,косметический,,,39.8 м²,1979,55.823232,49.060914,"Республика Татарстан, Казань, ул. Батыршина, 27"
Новостройки,44,9623048,,совмещенный,монолитный,предчистовая,15,,11.3 м²,16.7 м²,23,1,открытая во дворе,,2.7 м,,36.6 м²,,55.81747,49.18425,"р-н Советский, Республика Татарстан (Татарстан), Казань, улица Сибирский Тракт, 34к9"
Вторичка,80,6700000,балкон,совмещенный,панельный,,5,"кухня, хранение одежды",6 м²,29 м²,5,2,открытая во дворе,евро,2.7 м,"кондиционер, холодильник, водонагреватель",44.4 м²,1973,55.833157,49.13066,"Республика Татарстан (Татарстан), Казань, ул. Фатыха Амирхана, 59"
Новостройки,35,10726331,лоджия,,монолитно-кирпичный,без отделки,6,,13.4 м²,15.6 м²,14,1,,,,,41.2 м²,,55.77717,49.20217,"ул. Бухарская, стр. 5"
Вторичка,475,3800000,,раздельный,блочный,,3,,12 м²,18 м²,3,1,открытая во дворе,косметический,,,43 м²,,55.710327,49.348555,"Республика Татарстан (Татарстан), Пестречинский р-н, Богородское сельское поселение, д. Куюки, 12-й квартал, 1А"
Новостройки,2715,7670000,балкон,совмещенный,монолитный,предчистовая,21,,4 м²,,25,2,,,,,34.9 м²,,55.68727,49.20682,"с. Усады, д. 4.2, блок-секция 1,2"
Вторичка,4982,6450000,,раздельный,кирпичный,,2,"кухня, хранение одежды",10 м²,40 м²,3,3,открытая во дворе,евро,3 м,,80.3 м²,,55.84006882,49.03597641,"Республика Татарстан, Казань, ул. Рахимова, 33"
Новостройки,24,14734844,лоджия,,монолитно-кирпичный,без отделки,16,,12.7 м²,29.6 м²,22,2,,,,,60.3 м²,,55.77717,49.20217,"ул. Бухарская, стр. 5"
Вторичка,2191,5800000,,раздельный,кирпичный,,2,,6 м²,26 м²,5,2,открытая во дворе,косметический,,,40 м²,1968,55.767782,49.140622,"Республика Татарстан (Татарстан), Казань, Ботаническая ул., 17"
Вторичка,11255,13000000,,раздельный,кирпичный,,2,,15 м²,31 м²,10,2,,косметический,,,63.6 м²,2013,55.820051,49.144817,"Республика Татарстан, Казань, Чистопольская ул., 71А"
Вторичка,1971,2790000,,совмещенный,кирпичный,,2,"кухня, спальные места",,,5,студия,открытая во дворе,евро,,стиральная машина,13 м²,1963,55.8143158,49.18418884,"р-н Советский, Республика Татарстан, Казань, ул. Академика Кирпичникова, 27"
Новостройки,1074,34342601,,раздельный,монолитно-кирпичный,без отделки,5,,9 м²,,10,2,подземная,,3 м,,78.3 м²,,55.77409,49.14622,"ул. Шаляпина, жилой дом"
