views,price,floor,kitchen_area,living_area,total_floors,rooms,ceiling_height,total_area,year_built,latitude,longitude,address,floor_ratio,type_vtorichka,type_novostroyki,balcony_lodzhiya,balcony_balkon,balcony_net,bathroom_sovmeschennyy,bathroom_razdelnyy,bathroom_,house_type_kirpichnyy,house_type_monolitnyy,house_type_monolitno-kirpichnyy,house_type_blochnyy,house_type_panelnyy,house_type_derevyannyy,repair_trebuet_remonta,repair_evro,repair_kosmeticheskiy,repair_dizaynerskiy,repair_neizvestnyy,finishing_neizvestnyy,finishing_predchistovaya,finishing_bez_otdelki,finishing_chistovaya,furniture_net,furniture_kuhnya,furniture_hranenie_odezhdy,furniture_spalnye_mesta,parking_podzemnaya,parking_otkrytaya_vo_dvore,parking_za_shlagbaumom_vo_dvore,parking_nazemnaya_mnogourovnevaya,parking_net,technique_net,technique_stiralnaya_mashina,technique_holodilnik,technique_konditsioner,technique_posudomoechnaya_mashina,technique_vodonagrevatel,price_per_sqm,geometry,Kindergarten,School,Mall,Playground,Theatre,Supermarket,Subway Entrance,Bus Stop,Park,Square,Sports Centre,Hospital,Highway,Parking
1300,17700000,1,17.0,,11.0,3.0,3.0,98.0,,55.79772949,49.06119156,"Республика Татарстан, Казань, ул. Столярова, 15А",0.09090909090909091,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,180612.24489795917,POINT (49.06119156 55.79772949),1,0,0,5,0,1,0,2,2,0,0,0,194,4
639,7290000,6,9.3,18.0,10.0,1.0,2.7,36.0,2019.0,55.72347,49.168218,"р-н Приволжский, Республика Татарстан (Татарстан), Казань, ул. Рауиса Гареева, 102к2",0.6,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,202500.0,POINT (49.168218 55.72347),2,0,0,9,0,1,0,1,0,0,0,0,57,8
1866,6800000,8,8.6,16.0,19.0,1.0,2.7,38.5,2003.0,55.79197693,49.22122955,"р-н Советский, Республика Татарстан, Казань, пр-т Победы, 184",0.42105263157894735,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,176623.37662337662,POINT (49.22122955 55.79197693),2,1,0,4,0,2,0,3,1,0,0,0,147,3
6891,12640000,2,9.6,55.9,9.0,4.0,2.7,92.1,1994.0,55.73992919921875,49.19725799560547,"Республика Татарстан, Казань, пр-т Победы, 20к1",0.2222222222222222,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,137242.12812160695,POINT (49.19725799560547 55.73992919921875),1,2,1,1,0,4,0,0,0,0,0,0,91,1
2976,35000000,3,20.0,,5.0,4.0,3.0,82.0,1954.0,55.79137,49.132456,"Республика Татарстан (Татарстан), Казань, ул. Маяковского, 28",0.6,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,426829.26829268294,POINT (49.132456 55.79137),0,1,0,4,1,3,0,2,2,0,0,0,165,7
1099,7700000,6,11.3,29.1,10.0,1.0,2.7,42.7,2007.0,55.7599330457651,49.23538340080347,"Республика Татарстан (Татарстан), Казань, ул. Юлиуса Фучика, 82",0.6,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,180327.868852459,POINT (49.23538340080347 55.7599330457651),1,0,0,10,0,4,0,1,0,0,0,0,131,1
1313,9750000,3,9.0,29.0,9.0,2.0,2.7,52.0,1992.0,55.81954563502499,49.10262371733616,"Республика Татарстан (Татарстан), Казань, Чистопольская ул., 5",0.3333333333333333,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,187500.0,POINT (49.10262371733616 55.81954563502499),2,3,0,14,0,5,0,3,1,0,0,0,259,19
760,10500000,14,7.9,,14.0,3.0,2.5,63.6,,55.83749008,49.11991501,"Республика Татарстан, Казань, ул. Мусина, 69к1",1.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,165094.3396226415,POINT (49.11991501 55.83749008),1,0,0,1,0,4,0,3,1,0,0,0,143,4
369,6500000,3,7.0,19.0,9.0,1.0,2.7,36.0,1988.0,55.83827972,49.12014008,"Республика Татарстан, Казань, ул. Мусина, 71",0.3333333333333333,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,180555.55555555556,POINT (49.12014008 55.83827972),1,0,0,1,0,4,0,1,1,0,0,0,116,3
1061,10290000,8,10.0,30.0,10.0,2.0,2.7,57.0,,55.80080812198561,49.204105824501326,"р-н Советский, Республика Татарстан (Татарстан), Казань, ул. Зур Урам, 1Кк5",0.8,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,180526.31578947368,POINT (49.204105824501326 55.80080812198561),0,0,0,6,0,2,0,0,0,0,0,0,153,7
